Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Davante Adams,GB,7,9,18,11,16,,,,,,,,,,,,,,61,12.2
Cooper Kupp,LAR,10,11,12,13,10,,,,,,,,,,,,,,56,11.2
Keenan Allen,LAC,13,8,12,11,9,,,,,,,,,,,,,,53,10.6
Deebo Samuel,SF,12,8,10,13,9,,,,,,,,,,,,,,52,10.4
Mike Williams,LAC,12,10,9,4,16,,,,,,,,,,,,,,51,10.2
Tyreek Hill,KC,15,4,7,12,13,,,,,,,,,,,,,,51,10.2
D.J. Moore,CAR,8,11,12,12,7,,,,,,,,,,,,,,50,10
Terry McLaurin,WAS,4,14,7,13,11,,,,,,,,,,,,,,49,9.8
Stefon Diggs,BUF,13,8,10,11,5,,,,,,,,,,,,,,47,9.4
Jakobi Meyers,NE,9,6,14,12,5,,,,,,,,,,,,,,46,9.2
Mike Evans,TB,6,9,10,12,8,,,,,,,,,,,,,,45,9
Justin Jefferson,MIN,9,10,11,7,8,,,,,,,,,,,,,,45,9
Brandin Cooks,HOU,7,14,11,7,5,,,,,,,,,,,,,,44,8.8
Michael Pittman Jr.,IND,4,12,12,8,7,,,,,,,,,,,,,,43,8.6
Calvin Ridley,ATL,8,10,11,13,-,,,,,,,,,,,,,,42,10.5
Chris Godwin,TB,13,5,7,5,11,,,,,,,,,,,,,,41,8.2
DeVonta Smith,PHI,8,7,6,10,9,,,,,,,,,,,,,,40,8
Courtland Sutton,DEN,3,12,5,8,11,,,,,,,,,,,,,,39,7.8
Robert Woods,LAR,4,9,6,6,14,,,,,,,,,,,,,,39,7.8
CeeDee Lamb,DAL,15,9,3,5,6,,,,,,,,,,,,,,38,7.6
D.K. Metcalf,SEA,5,11,9,8,5,,,,,,,,,,,,,,38,7.6
Hunter Renfrow,LV,9,7,6,8,8,,,,,,,,,,,,,,38,7.6
Marquise Brown,BAL,6,10,7,5,10,,,,,,,,,,,,,,38,7.6
Marvin Jones Jr.,JAC,9,11,8,3,6,,,,,,,,,,,,,,37,7.4
Adam Thielen,MIN,10,7,9,8,3,,,,,,,,,,,,,,37,7.4
Diontae Johnson,PIT,10,12,-,13,2,,,,,,,,,,,,,,37,9.3
Corey Davis,NYJ,7,5,10,7,7,,,,,,,,,,,,,,36,7.2
Jaylen Waddle,MIA,5,8,13,4,6,,,,,,,,,,,,,,36,7.2
Amari Cooper,DAL,17,5,4,3,6,,,,,,,,,,,,,,35,7
Ja'Marr Chase,CIN,7,4,5,9,10,,,,,,,,,,,,,,35,7
Tyler Boyd,CIN,4,9,6,11,5,,,,,,,,,,,,,,35,7
