Date,Area,Area 2,Pit Name,Game Group,Game Type,Game Type Short,Table Name,Stat Drop,Stat Win,Promo Chips,Matchplay Coupons,Matchplay & PromoChips,StatDrop less MP,StatWin less MP,Active Days,Status
44197,Main Floor,Rest of Floor,Pit3,Blackjack,Blackjack,BJ,BJ030,23403,9713, -   , -   , -   ,23403,9713,1,Active
44197,Main Floor,Rest of Floor,Pit3,Blackjack,Blackjack,BJ,BJ044,18279,4909, -   , -   , -   ,18279,4909,1,Active
44197,Main Floor,Rest of Floor,Pit3,Blackjack,Blackjack,BJ,BJ046,19720,4445, -   , -   , -   ,19720,4445,1,Active
44197,Main Floor,Rest of Floor,Pit3,Blackjack,Blackjack,BJ,BJ050,33909,17334,1400, -   ,1400,32509,15934,1,Active
44197,Main Floor,Rest of Floor,Pit3,Blackjack,Blackjack,BJ,BJ051,26126,9616,100, -   ,100,26026,9516,1,Active
44197,Main Floor,Rest of Floor,Pit4,Blackjack,Blackjack,BJ,BJ058,37744,4914, -   , -   , -   ,37744,4914,1,Active
44197,Main Floor,Rest of Floor,Pit4,Blackjack,Blackjack,BJ,BJ059,31030,545,400, -   ,400,30630,145,1,Active
44197,Main Floor,Rest of Floor,Pit4,Blackjack,Blackjack,BJ,BJ060,33269,6019, -   , -   , -   ,33269,6019,1,Active
44197,Main Floor,Rest of Floor,Pit4,Blackjack,Blackjack,BJ,BJ061,32721,8836, -   , -   , -   ,32721,8836,1,Active
44197,Main Floor,Rest of Floor,Pit4,Blackjack,Blackjack,BJ,BJ062,26705,-1010, -   , -   , -   ,26705,-1010,1,Active
44197,Main Floor,Rest of Floor,Pit4,Blackjack,Blackjack,BJ,BJ064,19360,270, -   , -   , -   ,19360,270,1,Active
44197,High Limit,High Limit,Lotus 8 Palace,Blackjack,Blackjack,BJ,BJ088,61595,29080, -   , -   , -   ,61595,29080,1,Active
